user_id,content_id,watch_seconds,rating,popularity,title,original_title,overview,release_date,genre_ids,original_language,backdrop_path,poster_path,vote_count,vote_average,adult,video
1,812455,5268,8.5,29.9495,Victoria,Victoria,,2021-01-16,[28],en,,/aOSTW7ZitFAff06mZVXUnktejHY.jpg,2,8.5,False,False
1,1128546,3786,5.75,41.9323,Barron's Cove,Barron's Cove,,2025-06-06,"[80, 53, 18]",en,/jdaCuQvmhwxZVDFENOG9Fm7BU5I.jpg,/r2mnkY3fmcvCpRs4qB7rPnHcxVo.jpg,4,5.75,False,False
1,1294949,5339,8.067,56.0201,Mamá Reinventada,Mamá Reinventada,,2025-05-08,[35],es,/rx7aw7NGnIuCYorPBWeNPrgOMAc.jpg,/vUZSqIesoLoX9Z8ByHwm8xUCaTg.jpg,15,8.067,False,False
1,10191,4186,7.85,36.362,드래곤 길들이기,How to Train Your Dragon,"바이킹의 세계, 절대 친구가 될 수 없는 둘이 만났다?  용맹한 바이킹과 사나운 드래곤들의 싸움이 끊이지 않는 버크섬.  바이킹 족장의 아들 ‘히컵’은 드래곤 사냥에 소질 없는 마을의 사고뭉치. 어느날 그는 부상 당한 드래곤 ‘투슬리스’를 구하게 되고, 아무도 몰래 그를 돌본다. 서로를 알아가며, 드래곤들의 친구가 된 ‘히컵’. 그들과의 새로운 생활을 만끽하던 ‘히컵’은 드래곤들의 위험한 비밀을 알게 되는데…  불멸의 드래곤과 바이킹족 이단아의 만남!  2010년 5월, 그들의 스펙터클한 모험이 시작된다!",2010-05-20,"[14, 12, 16, 10751]",en,/59vDC1BuEQvti24OMr0ZvtAK6R1.jpg,/5JtTkNwOeztwfCPv965e9bZi6G3.jpg,13648,7.85,False,False
1,1084153,4737,5.913,39.494,Sneaks,Sneaks,,2025-04-17,"[10751, 35, 12, 16]",en,/eA4S3tlpYfEA7LTo3GOwYWzUG4z.jpg,/3SipvmtH9VOyLmII9JLs34qFfil.jpg,23,5.913,False,False
1,1153714,4395,6.478,29.7878,데스 오브 유니콘,Death of a Unicorn,"​""그날 밤, 그들은 상상조차 못한 존재와 마주쳤다"" 과부인 엘리엇 킨터와 그의 딸 리들리는 캐나다 로키산맥으로 떠나는 길에 우연히 신비로운 새끼 유니콘과 충돌하게 된다. 이 사건으로 인해 그들은 엘리엇의 억만장자 상사인 오델 레오폴드의 별장에 도착하게 되고, 레오폴드 가족은 유니콘의 치유력을 탐내기 시작한다. 하지만 그들이 간과한 사실은, 유니콘의 부모가 그들의 새끼를 찾기 위해 다가오고 있다는 것인데...",2025-03-27,"[27, 14, 35]",en,/4rLaMBcCJ1pMq72vCulBMPsbAyh.jpg,/xWlF2i51zUq7BUq4iJte1g9NyIM.jpg,384,6.478,False,False
1,736350,6647,10.0,65.0006,Playboy Playmate Workout,Playboy Playmate Workout,,1983-01-01,[],en,,/zNvrtwwOB1imM58d1Y4u3TQxKYW.jpg,1,10.0,False,False
1,1100842,7200,10.0,24.49,新婚シリーズ　最初が肝心,新婚シリーズ　最初が肝心,,1962-02-07,[],ja,,/f52F9CBy6nY5vmOv07FMsexyVpJ.jpg,1,10.0,False,False
1,1979,3601,5.615,39.9401,판타스틱 4: 실버 서퍼의 위협,Fantastic Four: Rise of the Silver Surfer,"판타스틱4가 세상을 평정하고 전세계인들의 스타로 추앙 받으며 살아온 지 2년, 이제 악의 화신 닥터 둠도 사라져버린 지구는 큰 혼란 없이 평화로운 상태를 유지하게 되었다.  하지만, 이러한 평화도 잠시. 예상치 못한 불길한 징조가 곳곳에서 나타나며 전 세계를 혼란에 빠뜨린다. 이집트에 난데없이 폭설이 내리고, LA, 뉴욕 등 미국의 대도시는 대규모 정전 사태로 암흑천지가 되고, 거대한 소용돌이와 함께 런던의 템즈강 한가운데가 뚫리는 등 상상치 못한 일들이 발생하지만, 그 혼란의 원인은 의문에 싸여있기만 하다. 그리하여 인류는 다시 판타스틱4를 찾게 되고, 그 의문의 정체는 인비져블과 판타스틱의 결혼식 날 모습을 드러낸다.  전세계에 걸쳐 파괴적인 힘을 과시해 온 존재는 바로 먼 우주의 행성에서 날아온 미스터리한 실버서퍼. 실버 메탈릭 스킨을 가진 실버서퍼는 무한 에너지의 원천인 서핑보드를 타고 다니며, 어떠한 물질도 관통할 수 있고 광속도와 맞먹는 초스피드로 이동하면서 강력한 힘을 행사한다. 이에 판타스틱4는 새로운 파워로 지구를 파괴하려는 위험에 맞서게 되고, 닥터 둠이 재등장하면서 인류와 판타스틱4의 미래는 점점 예측 할 수 없게 되는데….  과연 새롭게 등장한 실버서퍼의 정체는 무엇이고, 닥터 둠의 계략은 무엇일까.  그리고, 판타스틱4는 평화로운 자신들의 삶을 버리고 지구의 대재난을 막기 위해 혼란 속으로 뛰어 들것인가.",2007-08-08,"[878, 12, 28]",en,/o2wYH40zW0JIYiYUTu6L4gsNy7E.jpg,/ueb8tFaggAFvmIcddUuEoHd1qO5.jpg,8051,5.615,False,False
1,634649,6062,7.9,27.2539,스파이더맨: 노 웨이 홈,Spider-Man: No Way Home,미스테리오의 계략으로 세상에 정체가 탄로난 스파이더맨 피터 파커는 하루 아침에 평범한 일상을 잃게 된다. 문제를 해결하기 위해 닥터 스트레인지를 찾아가 도움을 청하지만 뜻하지 않게 멀티버스가 열리면서 각기 다른 차원의 불청객들이 나타난다. 닥터 옥토퍼스를 비롯해 스파이더맨에게 깊은 원한을 가진 숙적들의 강력한 공격에 피터 파커는 사상 최악의 위기를 맞게 되는데…,2021-12-15,"[28, 12, 878]",en,/zD5v1E4joAzFvmAEytt7fM3ivyT.jpg,/fvqoI9r1GU2EFkc0xjZ6dKCuDVR.jpg,20935,7.9,False,False
